text,Опыт работы,Обязанности,Дополнительные требования,График работы,Высшее образование,Требуемые навыки
Описание вакансии,,,,,,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность  Требования:  Желание работать и зарабатывать Стремление к личному результату Позитивный настрой Умение работать в команде  Ты получаешь:  Индивидуальный график работы, совмещение с учебой Возможность взять свободное посещение от учебы ( прохождение практики ) Шанс заработать столько, сколько захочешь с первого дня Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Опытного наставника, который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Возможность завести полезные знакомства Официальное трудоустройство по договору гражданско-правового характера Корпоративное обучение (простое и понятное) Повышение своего уровня компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта работы,"Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность",Умение работать в команде,Индивидуальный график работы; совмещение с учебой; Возможность взять свободное посещение от учебы ( прохождение практики ),,
"""Вечерний продавец (Подработка) Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение Вносить данные в программу Вести отчетность  Требования:  Желание зарабатывать Стремление к результату Быть ориентированным на результат Хотеть расти и становится лучше  Ты получаешь:  Шанс заработать столько, сколько захочешь Доп. мотивацию в первые 3 месяца работы в размере 9.000 руб Опытного наставника который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Индивидуальный график работы, совмещение с учебой Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Полный доступ к Онлайн Университету компании с сотнями книг и лекций Повысить свой уровень компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта,Продвигать услуги компании; Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение; Вносить данные в программу; Вести отчетность,Желание зарабатывать; Стремление к результату; Быть ориентированным на результат; Хотеть расти и становится лучше,Подработка; Индивидуальный график работы; совмещение с учебой,,
"""Рассматриваем кандидатов без опыта работы!!!  Обязанности:  Продвигать услуги компании Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение Вносить данные в программу Вести отчетность  Требования:  Желание зарабатывать Стремление к результату Быть ориентированным на результат Хотеть расти и становится лучше  Ты получаешь:  Шанс заработать столько, сколько захочешь Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Опытного наставника который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Индивидуальный график работы, совмещение с учебой Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Полный доступ к Онлайн Университету компании с сотнями книг и лекций Повысить свой уровень компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта,Продвигать услуги компании; Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение; Вносить данные в программу; Вести отчетность,Желание зарабатывать; Стремление к результату; Быть ориентированным на результат; Хотеть расти и становится лучше,Индивидуальный график работы; совмещение с учебой,,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность  Требования:  Желание работать и зарабатывать Стремление к личному результату Позитивный настрой Умение работать в команде  Ты получаешь:  Индивидуальный график работы, совмещение с учебой Возможность взять свободное посещение от учебы ( прохождение практики ) Шанс заработать столько, сколько захочешь с первого дня Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Опытного наставника, который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Корпоративное обучение (простое и понятное) Повышение своего уровня компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта,"Продвигать услуги компании; (Интернет, ТВ, Мобильная связь); Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение услуг; Вести отчетность",Желание работать и зарабатывать; Стремление к личному результату; Позитивный настрой; Умение работать в команде,совмещение с учебой; Индивидуальный график; свободное посещение от учебы,,
"""Рассматриваем кандидатов без опыта работы!!! ОТ 16 лет! Обязанности:  Продвигать услуги компании Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение Вносить данные в программу Вести отчетность  Требования:  Желание зарабатывать Стремление к результату Быть ориентированным на результат Хотеть расти и становится лучше  Ты получаешь:  Шанс заработать столько, сколько захочешь Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Опытного наставника который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Индивидуальный график работы, совмещение с учебой Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Полный доступ к Онлайн Университету компании с сотнями книг и лекций Повысить свой уровень компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта,Продвигать услуги компании; Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение; Вносить данные в программу; Вести отчетность,Желание зарабатывать; Стремление к результату; Быть ориентированным на результат; Хотеть расти и становится лучше,Индивидуальный график работы; совмещение с учебой,,
"""ВОЗМОЖНОСТЬ РАБОТАТЬ С 16 лет! Условия:  Работа в дневное либо вечернее время Время работы 4 часа в день (с 13.00 до 17.00, либо с 17.00 до 21.00, смены можно менять) График подстраиваете под себя (в зависимости от учёбы/занятости) Оплата раз в месяц Премии каждый месяц Удобный район работы Трудоустройство по договору гражданско-правового характера Карьерный рост Нет потолка по оплате работы сверх.плана  Обязанности:  Консультация по услугам связи компании Оформление заявок  Заработай на мечту! * Не удалённая работа, не call - центр Также вакансия будет интересна кандидатам с опытом работы в прямых продажах: агент по продажам, специалист по работе с клиентами, менеджер по продажам, оператор колл-центра, продавец-консультант.""","с опытом работы в прямых продажах; агент по продажам,; специалист по работе с клиентами; менеджер по продажам; оператор колл-центра; продавец-консультант; С 16 лет",Консультация по услугам связи компании; Оформление заявок,,"Работа в дневное либо вечернее время; Время работы 4 часа в день; (с 13.00 до 17.00, либо с 17.00 до 21.00,; смены можно менять); График подстраиваете под себя",,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность  Требования:  Желание работать и зарабатывать Стремление к личному результату Позитивный настрой Умение работать в команде  Ты получаешь:  Индивидуальный график работы, совмещение с учебой Возможность взять свободное посещение от учебы ( прохождение практики ) Шанс заработать столько, сколько захочешь с первого дня Доп. мотивацию в первые 3 месяца работы в размере 9.000 руб Опытного наставника, который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Возможность завести полезные знакомства Официальное трудоустройство по договору гражданско-правового характера Корпоративное обучение (простое и понятное) Повышение своего уровня компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта; С 16 лет,"Продвигать услуги компании (Интернет, ТВ, Мобильная связь); Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение услуг; Вести отчетность",Желание работать и зарабатывать; Стремление к личному результату; Позитивный настрой; Умение работать в команде,Индивидуальный график работы; совмещение с учебой; Возможность взять свободное посещение от учебы; прохождение практики,,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение Вносить данные в программу Вести отчетность  Требования:  Желание зарабатывать Стремление к результату Быть ориентированным на результат Хотеть расти и становится лучше  Ты получаешь:  Шанс заработать столько, сколько захочешь Доп. мотивацию в первые 3 месяца работы в размере 9.000 руб Опытного наставника который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Индивидуальный график работы, совмещение с учебой Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Полный доступ к Онлайн Университету компании с сотнями книг и лекций Повысить свой уровень компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта,Продвигать услуги компании; Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение; Вносить данные в программу; Вести отчетность,,Индивидуальный график работы; совмещение с учебой,,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение Вносить данные в программу Вести отчетность  Требования:  Желание зарабатывать Стремление к результату Быть ориентированным на результат Хотеть расти и становится лучше  Ты получаешь:  Шанс заработать столько, сколько захочешь Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Опытного наставника который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Индивидуальный график работы, совмещение с учебой Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Полный доступ к Онлайн Университету компании с сотнями книг и лекций Повысить свой уровень компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта работы,Продвигать услуги компании; Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение; Вносить данные в программу; Вести отчетность,,Индивидуальный график работы; совмещение с учебой,,
